timestamp,loglevel,message
2023-03-28 09:37:45.153209,Listener detected file lol.csv,500 Rows are Successfuly Read from the source
2023-03-28 09:37:45.2335026,The file lol.csv has total 500 Transaction,460 Transaction had a discount
2023-03-28 09:37:48.5884715,Producer recieved file lol.csv,500 Rows are Successfuly Wrote to the database
2023-03-28 09:37:48.6273666,Listener detected file ping.csv,100 Rows are Successfuly Read from the source
2023-03-28 09:37:48.6303594,The file ping.csv has total 100 Transaction,93 Transaction had a discount
2023-03-28 09:37:49.1867926,Producer recieved file ping.csv,100 Rows are Successfuly Wrote to the database
2023-03-28 09:37:49.228678,Listener detected file test222.csv,10 Rows are Successfuly Read from the source
2023-03-28 09:37:49.2297035,The file test222.csv has total 10 Transaction,9 Transaction had a discount
2023-03-28 09:37:49.2765625,Producer recieved file test222.csv,10 Rows are Successfuly Wrote to the database
2023-03-28 09:37:49.309464,Listener detected file text.csv,10 Rows are Successfuly Read from the source
2023-03-28 09:37:49.3104603,The file text.csv has total 10 Transaction,9 Transaction had a discount
2023-03-28 09:37:49.3624052,Producer recieved file text.csv,10 Rows are Successfuly Wrote to the database
2023-03-28 09:37:49.4030109,Listener detected file TRX10.csv,10 Rows are Successfuly Read from the source
2023-03-28 09:37:49.4040097,The file TRX10.csv has total 10 Transaction,9 Transaction had a discount
2023-03-28 09:37:49.4456064,Producer recieved file TRX10.csv,10 Rows are Successfuly Wrote to the database
2023-03-28 09:37:49.4788836,Listener detected file TRX100.csv,100 Rows are Successfuly Read from the source
2023-03-28 09:37:49.4818774,The file TRX100.csv has total 100 Transaction,93 Transaction had a discount
2023-03-28 09:37:49.9602916,Producer recieved file TRX100.csv,100 Rows are Successfuly Wrote to the database
2023-03-28 09:37:50.0003735,Listener detected file TRX500.csv,500 Rows are Successfuly Read from the source
2023-03-28 09:37:50.0123426,The file TRX500.csv has total 500 Transaction,460 Transaction had a discount
2023-03-28 09:37:52.3589243,Producer recieved file TRX500.csv,500 Rows are Successfuly Wrote to the database
2023-03-28 09:37:52.5027897,Listener detected file TRX1000.csv,1000 Rows are Successfuly Read from the source
2023-03-28 09:37:52.512766,The file TRX1000.csv has total 1000 Transaction,920 Transaction had a discount
2023-03-28 09:37:56.8512977,Producer recieved file TRX1000.csv,1000 Rows are Successfuly Wrote to the database
2023-03-28 09:37:56.8887152,Listener detected file try.csv,1000 Rows are Successfuly Read from the source
2023-03-28 09:37:56.9026797,The file try.csv has total 1000 Transaction,920 Transaction had a discount
2023-03-28 09:38:00.6213025,Producer recieved file try.csv,1000 Rows are Successfuly Wrote to the database
2023-03-28 09:39:35.5614041,Listener detected file lol.csv,500 Rows are Successfuly Read from the source
2023-03-28 09:39:35.5673863,The file lol.csv has total 500 Transaction,460 Transaction had a discount
2023-03-28 09:39:37.7733014,Producer recieved file lol.csv,500 Rows are Successfuly Wrote to the database
2023-03-28 09:39:37.8103349,Listener detected file ping.csv,100 Rows are Successfuly Read from the source
2023-03-28 09:39:37.8122799,The file ping.csv has total 100 Transaction,93 Transaction had a discount
2023-03-28 09:39:38.194997,Producer recieved file ping.csv,100 Rows are Successfuly Wrote to the database
2023-03-28 09:39:38.2253092,Listener detected file test222.csv,10 Rows are Successfuly Read from the source
2023-03-28 09:39:38.2263069,The file test222.csv has total 10 Transaction,9 Transaction had a discount
2023-03-28 09:39:38.2615554,Producer recieved file test222.csv,10 Rows are Successfuly Wrote to the database
2023-03-28 09:39:38.2891143,Listener detected file text.csv,10 Rows are Successfuly Read from the source
2023-03-28 09:39:38.2891143,The file text.csv has total 10 Transaction,9 Transaction had a discount
2023-03-28 09:39:38.3249659,Producer recieved file text.csv,10 Rows are Successfuly Wrote to the database
2023-03-28 09:39:38.3519815,Listener detected file TRX10.csv,10 Rows are Successfuly Read from the source
2023-03-28 09:39:38.3519815,The file TRX10.csv has total 10 Transaction,9 Transaction had a discount
2023-03-28 09:39:38.4032154,Producer recieved file TRX10.csv,10 Rows are Successfuly Wrote to the database
2023-03-28 09:39:38.4301742,Listener detected file TRX100.csv,100 Rows are Successfuly Read from the source
2023-03-28 09:39:38.4331664,The file TRX100.csv has total 100 Transaction,93 Transaction had a discount
2023-03-28 09:39:38.8393852,Producer recieved file TRX100.csv,100 Rows are Successfuly Wrote to the database
2023-03-28 09:39:38.8782825,Listener detected file TRX500.csv,500 Rows are Successfuly Read from the source
2023-03-28 09:39:38.883268,The file TRX500.csv has total 500 Transaction,460 Transaction had a discount
2023-03-28 09:39:41.0154367,Producer recieved file TRX500.csv,500 Rows are Successfuly Wrote to the database
2023-03-28 09:39:41.0531141,Listener detected file TRX1000.csv,1000 Rows are Successfuly Read from the source
2023-03-28 09:39:41.0581016,The file TRX1000.csv has total 1000 Transaction,920 Transaction had a discount
2023-03-28 09:39:45.7070525,Producer recieved file TRX1000.csv,1000 Rows are Successfuly Wrote to the database
2023-03-28 09:39:45.7369306,Listener detected file try.csv,1000 Rows are Successfuly Read from the source
2023-03-28 09:39:45.7409124,The file try.csv has total 1000 Transaction,920 Transaction had a discount
2023-03-28 09:39:49.3640718,Producer recieved file try.csv,1000 Rows are Successfuly Wrote to the database
